feature_name,importance
mean50__2fry3,1.751270773588419e-05
std20__2fhsw1,1.5703504514045702e-05
std20__2ftpj,1.565266689183603e-05
current__2ftpj,1.507553377146562e-05
current__2ffy4,1.4620773175205248e-05
current__2jhdb,1.4512249360747836e-05
std5__2fn4,1.44396647802129e-05
std5__2fhsw1,1.4392626475220164e-05
mean5__2fzs2,1.4109759649233786e-05
std20__2fzg2,1.2926760258395285e-05
std20__2jhdc,1.2564805179716098e-05
std20__2fyj4,1.1584635480410357e-05
delta1__2fzg1,1.0457569252807183e-05
delta1__2fysy,1.0200727202735345e-05
std5__2fysy,9.875536607799285e-06
std5__2ffy4,9.803133717242885e-06
mean5__2fry2,9.772488146673542e-06
current__2fn3,9.419054604307294e-06
std20__2fpw1,8.558678621566993e-06
std5__2fsh4,7.0443098312086355e-06
delta1__2fzs1,6.001856532404006e-06
std5__2fyj3,5.5616378649095545e-06
std20__2fzg4,4.4089244238200495e-06
mean20__2fyj2,4.381941756515977e-06
std5__2fhw1,4.325107864042771e-06
delta1__2fn1,4.200047578161628e-06
std5__2fsh3,4.058712731007467e-06
std5__2fyj4,3.6722391426761975e-06
std20__2fzs1,3.261204143530334e-06
delta1__2fsh3,2.986524339960223e-06
mean5__2fpw3,2.9183770783376645e-06
std5__2fhsw2,2.579888256452334e-06
std20__2fsh4,2.546211745920305e-06
mean20__2ffy2,2.088856685665563e-06
current__2fhw1,1.7787368769620051e-06
current__2fzs3,9.75767178219733e-07
delta1__2fhsw2,9.057170515062464e-07
std5__2fpw2,4.948410899734741e-07
mean5__2fhw1,4.930465741464644e-07
std20__2fhw4,3.75757986596142e-07
delta1__2jhda,2.890445668753926e-07
delta1__2fsh4,2.5477209505323806e-07
std5__2fsh2,2.5062709673765994e-07
delta1__2fhw3,2.4614578784568747e-07
mean5__2fpw2,2.4368643129950477e-07
delta1__2fn3,2.2672602488365478e-07
delta1__2ffy3,1.9838360152088682e-07
std5__2fry1,1.8189385004995272e-07
delta1__2fsh1,1.3523608188892175e-07
delta1__2fhw2,1.3437710083512398e-14
std20__2fyj3,1.1652008698916829e-14
current__2fysy,1.1155397218633927e-14
delta1__2fhw4,1.0624495165148996e-14
std5__2ftpj,8.88092306384307e-15
delta1__2fhsw1,8.31294276689721e-15
current__2ffy1,7.0151305281287154e-15
std5__2ffy1,5.567092940066651e-15
delta1__2ffy4,5.4950144192858215e-15
current__2fsh3,5.130269584645827e-15
delta1__2fpw4,4.3065065107687864e-15
delta1__2fhsw3,3.9302699238252306e-15
mean5__2fyj1,3.892209903734595e-15
current__2ffy3,3.821581585397247e-15
current__2ffy2,3.1788211283764714e-15
mean20__2fry3,2.8043026582892665e-15
current__2fsh2,4.947080072197106e-16
