feature,files,healthy_files,defective_files,median_non_null_ratio,median_unique_values,global_std,healthy_file_ratio,defective_file_ratio,selected_for_anomaly
rftj,14,6,8,1.0,2.0,0.031051809932651938,0.2727272727272727,0.5333333333333333,False
2qf24,12,2,10,1.0,40.0,4.971407569478587,0.09090909090909091,0.6666666666666666,False
qf24,12,2,10,1.0,37.5,4.977048598784894,0.09090909090909091,0.6666666666666666,False
ns2,8,0,8,1.0,2.0,0.10319825330313154,0.0,0.5333333333333333,False
pws,8,6,2,1.0,2.0,0.01597511726029051,0.2727272727272727,0.13333333333333333,False
0,4,4,0,1.0,1851.5,4689.27531397943,0.18181818181818182,0.0,False
01,4,4,0,1.0,299.0,0.16864611201877128,0.18181818181818182,0.0,False
05,2,2,0,1.0,13171.0,102.53095958970164,0.09090909090909091,0.0,False
07,2,2,0,1.0,3016.5,5.169363712989053,0.09090909090909091,0.0,False
gxqygd,2,2,0,1.0,2146.0,7982.336956724768,0.09090909090909091,0.0,False
06,2,2,0,1.0,2092.5,2.1694835787470534,0.09090909090909091,0.0,False
04,2,2,0,1.0,643.5,230.53929729025765,0.09090909090909091,0.0,False
32,2,2,0,1.0,417.0,32.5771097197416,0.09090909090909091,0.0,False
02,2,2,0,1.0,397.5,1.7080610111836507,0.09090909090909091,0.0,False
212,2,2,0,1.0,377.0,139.05655341157677,0.09090909090909091,0.0,False
03,2,2,0,1.0,317.5,28.264550955770126,0.09090909090909091,0.0,False
10,2,2,0,1.0,178.5,15.973157353889405,0.09090909090909091,0.0,False
55,2,2,0,1.0,79.5,41.70909250330449,0.09090909090909091,0.0,False
fxdl,2,2,0,1.0,34.0,11.058635858440864,0.09090909090909091,0.0,False
sdl,2,2,0,1.0,31.0,11.092602468388769,0.09090909090909091,0.0,False
w,2,2,0,1.0,2.0,0.467062340063163,0.09090909090909091,0.0,False
0015,1,1,0,1.0,14473.0,90.25168320317685,0.045454545454545456,0.0,False
3937,1,1,0,1.0,3244.0,9775.598812451073,0.045454545454545456,0.0,False
21326,1,1,0,1.0,3186.0,8521.428029142455,0.045454545454545456,0.0,False
0324,1,1,0,1.0,3176.0,5.359209153360641,0.045454545454545456,0.0,False
1472,1,1,0,1.0,2030.0,2.0536788908575025,0.045454545454545456,0.0,False
55471,1,1,0,1.0,644.0,188.13514154484633,0.045454545454545456,0.0,False
100625,1,1,0,1.0,433.0,29.96842672572939,0.045454545454545456,0.0,False
5493,1,1,0,1.0,357.0,1.2372186535181116,0.045454545454545456,0.0,False
59738,1,1,0,1.0,345.0,144.28293165856934,0.045454545454545456,0.0,False
89375,1,1,0,1.0,338.0,26.859942566460155,0.045454545454545456,0.0,False
5837,1,1,0,1.0,335.0,109.89550889150301,0.045454545454545456,0.0,False
807,1,1,0,1.0,130.0,7.443349435689162,0.045454545454545456,0.0,False
102,1,1,0,1.0,73.0,31.55647153535046,0.045454545454545456,0.0,False
